Product,Price,Rating,Description,Url,Product Review ID
Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows ...,"₹24,990",4.2,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,/wings-nuvobook-s1-aluminium-alloy-metal-body-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-wl-nuvobook-s1-blu-thin-light-laptop/p/itm5b78d87082afc?pid=COMGQHYFNHAZNZGA&lid=LSTCOMGQHYFNHAZNZGA3ABTME&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_WMqtlhQFMUqfQwhC8Wj1GoM8o0twD2HSNQdzAZgrX1uZ5FQVCeScydjjD3_kNtb6jR1BTzLFVhr6BiTFbV4ieg%3D%3D&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
Wings Nuvobook V1 Aluminium Alloy Metal Body Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows ...,"₹29,990",4.3,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,/wings-nuvobook-v1-aluminium-alloy-metal-body-intel-core-i5-11th-gen-1155g7-8-gb-512-gb-ssd-windows-11-home-wl-nuvobook-v1-slv-thin-light-laptop/p/itmb370dd3bfdb75?pid=COMGQHYFJQYHZTDY&lid=LSTCOMGQHYFJQYHZTDYMPBY5P&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_WMqtlhQFMUqfQwhC8Wj1GoM8o0twD2HSNQdzAZgrX1uwZcDgCUUNvRurXbazkFoAly5bmLDjaNWc5PVH8NYB5g%3D%3D&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY23HN/A,"₹1,17,990",4.7,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly23hn-a/p/itm36fcfeeb2e684?pid=COMGFB2GQPT52CK3&lid=LSTCOMGFB2GQPT52CK37FYXJM&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGFB2GQPT52CK3.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
ASUS Zenbook 14 OLED (2023) Intel EVO P-Series Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Windows 11 H...,"₹1,12,990",5,Intel Core i7 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,/asus-zenbook-14-oled-2023-intel-evo-p-series-core-i7-13th-gen-1360p-16-gb-512-gb-ssd-windows-11-home-ux3402va-km741ws-thin-light-laptop/p/itma0dc6484050d6?pid=COMGZDQJ4KUZRCGJ&lid=LSTCOMGZDQJ4KUZRCGJZG0RIN&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGZDQJ4KUZRCGJ.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,24,990",4.2,AMD Ryzen 7 Octa Core Processor32 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display3 Years Onsite Warranty + 1 Year Accidental Damage Protection + 3 Years Legion Ultimate Support,/lenovo-legion-5-pro-amd-ryzen-7-octa-core-6800h-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-16arh7h-gaming-laptop/p/itm37d54ffc94d3d?pid=COMGM7VXHDVTZKSB&lid=LSTCOMGM7VXHDVTZKSB96PVFI&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGM7VXHDVTZKSB.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
APPLE Macbook Air (2023) M2 - (8 GB/256 GB SSD/macOS Ventura) MQKW3HN/A,"₹1,32,190",4.7,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD38.86 cm (15.3 Inch) DisplayBuilt-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos1 Year Limited Warranty",/apple-macbook-air-2023-m2-8-gb-256-gb-ssd-macos-ventura-mqkw3hn-a/p/itm3fc4c0939339a?pid=COMGQA2VNERMJMDD&lid=LSTCOMGQA2VNERMJMDDOYHWFF&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGQA2VNERMJMDD.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
Wings Nuvobook Pro Aluminium Alloy Metal Body Intel Core i7 11th Gen 1165G7 - (16 GB/512 GB SSD/Window...,"₹41,990",4.2,Intel Core i7 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,/wings-nuvobook-pro-aluminium-alloy-metal-body-intel-core-i7-11th-gen-1165g7-16-gb-512-gb-ssd-windows-11-home-wl-nuvobook-pro-blu-thin-light-laptop/p/itm36ad4d77cae96?pid=COMGQHYFGYYG2VZ2&lid=LSTCOMGQHYFGYYG2VZ2MORKEP&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_WMqtlhQFMUqfQwhC8Wj1GoM8o0twD2HSNQdzAZgrX1skD63jJcUXWsfWD_ZWnydQxfZ_eEWuh7Uzb6rwt2FQhg%3D%3D&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
MSI Katana 17 Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,"₹1,14,990",4.3,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD43.94 cm (17.3 Inch) Display2 Year Carry-in Warranty,/msi-katana-17-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-144-hz-b13vfk-253in-gaming-laptop/p/itm5f8b840f7a733?pid=COMGMGSJZA8KBF88&lid=LSTCOMGMGSJZA8KBF88E3JIWH&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGMGSJZA8KBF88.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
HP Envy x360 Creator OLED Eyesafe Intel Evo Core i5 12th Gen 1230U - (16 GB/512 GB SSD/Windows 11 Home...,"₹92,239",4.3,Intel Core i5 Processor (12th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD33.78 cm (13.3 Inch) Touchscreen Display1 Year Onsite Warranty,/hp-envy-x360-creator-oled-eyesafe-intel-evo-core-i5-12th-gen-1230u-16-gb-512-gb-ssd-windows-11-home-x360-bf0058tu-thin-light-laptop/p/itm7df2e976f83a1?pid=COMGH2WT8TVQ5H6T&lid=LSTCOMGH2WT8TVQ5H6TODT89U&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGH2WT8TVQ5H6T.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEJ3HN/A,"₹1,29,990",4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD33.78 cm (13.3 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",/apple-2022-macbook-pro-m2-8-gb-512-gb-ssd-mac-os-monterey-mnej3hn-a/p/itm6a30dab6477d1?pid=COMGFB2GHYYUVJGF&lid=LSTCOMGFB2GHYYUVJGFISMUCW&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGFB2GHYYUVJGF.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
