iter	MultiClass
0	1.838601781
1	1.704291417
2	1.641042082
3	1.563341953
4	1.46979109
5	1.390915192
6	1.328651161
7	1.279735632
8	1.219468115
9	1.157178779
10	1.100698554
11	1.055155584
12	1.015895396
13	0.9758481186
14	0.9400097461
15	0.904281689
16	0.8683808277
17	0.8473463423
18	0.8161789887
19	0.7928926143
20	0.7658279512
21	0.7431168324
22	0.7227853721
23	0.7041905385
24	0.6784782669
25	0.6576334777
26	0.6422787701
27	0.6292202927
28	0.6075272121
29	0.5886429078
30	0.5740277498
31	0.5615999986
32	0.5496890661
33	0.5329237161
34	0.5182828904
35	0.5039294038
36	0.4895606952
37	0.4779237426
38	0.468292817
39	0.4574834115
40	0.4474412881
41	0.4334642318
42	0.422584685
43	0.4137989368
44	0.4045498074
45	0.3954234717
46	0.3868188024
47	0.3787028181
48	0.3710082656
49	0.3632757039
50	0.3539131175
51	0.3489174167
52	0.3413734799
53	0.3341445975
54	0.3265783539
55	0.3223811114
56	0.3167514812
57	0.3115749856
58	0.3070470653
59	0.3029137519
60	0.2988191796
61	0.2935578758
62	0.2882383117
63	0.2837724276
64	0.2791745972
65	0.2747314871
66	0.2703934365
67	0.2658775693
68	0.2602557596
69	0.2568903865
70	0.2522929512
71	0.2477996548
72	0.2437037405
73	0.2402531044
74	0.2364125512
75	0.2330301048
76	0.2287561562
77	0.2253025972
78	0.2217606216
79	0.2191321676
80	0.2158708499
81	0.2127846814
82	0.2093084366
83	0.2067186926
84	0.2043745405
85	0.2018504847
86	0.1984839815
87	0.1951474223
88	0.1923483132
89	0.1898271632
90	0.1870170802
91	0.1842650299
92	0.181656977
93	0.1790966908
94	0.1761768356
95	0.1739340042
96	0.1709675133
97	0.1693110384
98	0.1675120498
99	0.1654155378
100	0.1632227345
101	0.1612558258
102	0.1588991801
103	0.1570601803
104	0.1553971242
105	0.1534644707
106	0.1516746027
107	0.1504981675
108	0.1488825377
109	0.1469301168
110	0.1451405262
111	0.1433528749
112	0.1419932171
113	0.1404716252
114	0.1392812148
115	0.1380358808
116	0.1366661839
117	0.1351165343
118	0.1337300283
119	0.1321834879
120	0.1302857751
121	0.1286093931
122	0.1272167227
123	0.1259750589
124	0.1250159886
125	0.1238024606
126	0.1225804949
127	0.1214208381
128	0.1204914866
129	0.1189674855
130	0.1178056502
131	0.1168912951
132	0.1159794875
133	0.1149216966
134	0.113923815
135	0.1128949854
136	0.1118845419
137	0.1107814672
138	0.1097778625
139	0.1086729202
140	0.107670828
141	0.1068623586
142	0.1056214378
143	0.1047567305
144	0.1036037723
145	0.1026412178
146	0.1016951209
147	0.1007520062
148	0.09987312127
149	0.09921958057
150	0.09841060231
151	0.09749686191
152	0.09669948195
153	0.09593896341
154	0.0952176414
155	0.09445325734
156	0.09387545868
157	0.09313405482
158	0.09233826109
159	0.09130792801
160	0.09070626169
161	0.09001018923
162	0.08926629829
163	0.08858192587
164	0.08802714856
165	0.08744610872
166	0.08678916405
167	0.08589246585
168	0.08500768327
169	0.08434842063
170	0.08366160698
171	0.08309534813
172	0.08250006465
173	0.08192212482
174	0.0813846289
175	0.08077623234
176	0.08032898713
177	0.07975550182
178	0.07921572972
179	0.07852507497
180	0.07800163582
181	0.0773161955
182	0.07685106067
183	0.07634487756
184	0.07593301961
185	0.0754257588
186	0.07492954524
187	0.07445081967
188	0.0740697409
189	0.0735122932
190	0.07309573905
191	0.07264315446
192	0.07212542194
193	0.07160301605
194	0.0711490051
195	0.07065871029
196	0.0701762563
197	0.06965482274
198	0.06904753887
199	0.06856742372
200	0.06820961653
201	0.06775022951
202	0.06733856251
203	0.06689571939
204	0.06656180554
205	0.06617051596
206	0.06566063264
207	0.06531859698
208	0.06495510989
209	0.06443182996
210	0.06411785201
211	0.06379193496
212	0.06343470952
213	0.06310538531
214	0.06274377509
215	0.06242370769
216	0.06202297415
217	0.06166635342
218	0.06134290552
219	0.06097800313
220	0.06059632135
221	0.06030948208
222	0.05997933347
223	0.05954861429
224	0.05922542127
225	0.05887861201
226	0.0585712996
227	0.05829032206
228	0.05798807629
229	0.05764766693
230	0.05735190596
231	0.05707606531
232	0.05674112196
233	0.05644247131
234	0.05604827059
235	0.05581348599
236	0.05558574551
237	0.05525370572
238	0.05500000743
239	0.05472191883
