iter	Logloss
0	0.6917530494
1	0.6900639679
2	0.6886056032
3	0.6871226409
4	0.6854163165
5	0.6838092407
6	0.6823650111
7	0.6809514019
8	0.6794947977
9	0.6779770696
10	0.6769093322
11	0.67538459
12	0.6741487709
13	0.6727500837
14	0.6714461307
15	0.6701510818
16	0.6689697081
17	0.6676519964
18	0.6663514852
19	0.6651018983
20	0.6639359464
21	0.6631770632
22	0.662020079
23	0.6607375773
24	0.6597627981
25	0.6586032118
26	0.6575552877
27	0.6565289062
28	0.6558105042
29	0.6546661833
30	0.6537240545
31	0.6526754034
32	0.6517005286
33	0.6506217631
34	0.6496409391
35	0.6486994706
36	0.6480232119
37	0.6473986999
38	0.6462725949
39	0.6453880635
40	0.6445156246
41	0.6437972008
42	0.6429610498
43	0.6420799208
44	0.6411112394
45	0.6402297473
46	0.6395394439
47	0.6387101992
48	0.6377143185
49	0.6369904992
50	0.6361458545
51	0.6354690596
52	0.6348702283
53	0.6339405653
54	0.6331961387
55	0.6323899128
56	0.631776823
57	0.6312695631
58	0.6304801815
59	0.6299412194
60	0.6292512771
61	0.6285035399
62	0.6277759334
63	0.6270656007
64	0.6263275707
65	0.6254680011
66	0.6250025714
67	0.6243641203
68	0.6236160764
69	0.6228730768
70	0.6221876134
71	0.6215588032
72	0.6208585053
73	0.6201284762
74	0.6194183074
75	0.619006797
76	0.6182304997
77	0.6177164048
78	0.6171533305
79	0.6167425331
80	0.6161579581
81	0.6156226167
82	0.6150625
83	0.6146033732
84	0.6138598674
85	0.6136045819
86	0.6129631344
87	0.6123454987
88	0.6118949954
89	0.6115098993
90	0.6111272564
91	0.6104932443
92	0.6101028932
93	0.6096948051
94	0.6091109434
95	0.6086799028
96	0.6084155687
97	0.6080015028
98	0.6074239158
99	0.6070367087
100	0.6066072462
101	0.6060708766
102	0.605923589
103	0.6054663561
104	0.6050922991
105	0.604772187
106	0.6043178114
107	0.6041214842
108	0.6039126136
109	0.6035864363
110	0.60314928
111	0.60274545
112	0.6023461328
113	0.6019441327
114	0.6017625869
115	0.6012311998
116	0.6007602019
117	0.6003626572
118	0.6001435985
119	0.5997249121
120	0.5992231582
121	0.5988887531
122	0.5985198671
123	0.598230661
124	0.5978893448
125	0.5974707473
126	0.5970546054
127	0.596680138
128	0.5963531956
129	0.5960159663
130	0.5957762533
131	0.5953400754
132	0.5949051785
133	0.5945950457
134	0.5941832225
135	0.5937791581
136	0.5933326486
137	0.5929601063
138	0.592643647
139	0.5922283316
140	0.5919156897
141	0.5915971033
142	0.5913262293
143	0.5909275418
144	0.5904978225
145	0.5900739007
146	0.5897900896
147	0.5895284178
148	0.5891365677
149	0.5887985089
150	0.5882816392
151	0.5879694854
152	0.5876693173
153	0.5871980932
154	0.5869739716
155	0.5867366946
156	0.5864703297
157	0.5861950258
158	0.5859907892
159	0.5858838041
160	0.5856760213
161	0.5852050916
162	0.5848773993
163	0.5844278873
164	0.5842398027
165	0.5836934012
166	0.5834348338
167	0.5830727735
168	0.583001512
169	0.5826385605
170	0.5822200323
171	0.5818628324
172	0.5817819164
173	0.5814921178
174	0.5811474502
175	0.5809112466
176	0.5805353484
177	0.580171479
178	0.5799199995
179	0.5796724351
180	0.579420322
181	0.5790454489
182	0.5787626143
183	0.5783268553
184	0.5780701797
185	0.5778562977
186	0.5777025998
187	0.5775404982
188	0.5771666848
189	0.5768877611
190	0.576523995
191	0.5763397087
192	0.5761705603
193	0.5759288371
194	0.5757754567
195	0.5756224985
196	0.575320748
197	0.575120351
198	0.575062173
199	0.5748639346
200	0.5745980124
201	0.5743485042
202	0.5742390299
203	0.5738685282
204	0.573544692
205	0.5733117028
206	0.5730799247
207	0.5729368366
208	0.5727194625
209	0.5726467285
210	0.5723391173
211	0.5720751536
212	0.5716517602
213	0.5712244411
